,condition,prob
0,noURL_1,0.05
1,noURL_1,0.05
2,noURL_1,0.05
3,noURL_1,0.05
4,noURL_1,0.05
5,noURL_1,0.05
6,noURL_1,0.05
7,noURL_1,0.05
8,noURL_1,0.05
9,noURL_1,0.05
10,noURL_1,0.05
11,noURL_1,0.05
12,noURL_1,0.05
13,noURL_1,0.05
14,noURL_1,0.05
15,noURL_1,0.05
16,noURL_1,0.05
17,noURL_1,0.1
18,noURL_1,0.85
19,noURL_1,0.05
20,noURL_1,0.05
21,noURL_1,0.05
22,noURL_1,0.05
23,noURL_1,0.05
24,noURL_1,0.05
25,noURL_1,0.0
26,noURL_1,0.05
27,noURL_1,0.05
28,noURL_1,0.0
29,noURL_1,0.0
30,noURL_1,0.05
31,noURL_1,0.05
32,noURL_1,0.05
33,noURL_1,0.05
34,noURL_1,0.05
35,noURL_1,0.0
36,noURL_1,0.05
37,noURL_1,0.0
38,noURL_1,0.05
39,noURL_1,0.05
40,noURL_1,0.05
41,noURL_1,0.1
42,noURL_1,0.05
43,noURL_1,0.05
44,noURL_1,0.05
45,noURL_1,0.05
46,noURL_1,0.05
47,noURL_1,0.05
48,noURL_1,0.05
49,noURL_1,0.1
50,noURL_1,0.05
51,noURL_1,1.0
52,noURL_1,0.05
53,noURL_1,0.05
54,noURL_1,0.05
55,noURL_1,0.05
56,noURL_1,0.05
57,noURL_1,0.05
58,noURL_1,0.1
59,noURL_1,0.05
60,noURL_1,0.05
61,noURL_1,0.05
62,noURL_1,0.05
63,noURL_1,0.0
64,noURL_1,0.0
65,noURL_1,0.05
66,noURL_1,0.05
67,noURL_1,0.05
68,noURL_1,0.05
69,noURL_1,0.05
70,noURL_1,0.05
71,noURL_1,0.0
72,noURL_1,0.05
73,noURL_1,0.0
74,noURL_1,0.05
75,noURL_1,0.05
76,noURL_1,0.05
77,noURL_1,0.05
78,noURL_1,0.05
79,noURL_1,0.05
80,noURL_1,0.1
81,noURL_1,0.05
82,noURL_1,0.0
